Sample,T_C,P_bar,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Xppm,Fe3FeT,S6ST,total_mass_g,Type,Place,Colour,Symbol,reference
Sari15-04-33_7,1155.532381,,48.42992568,0.757641775,16.49912297,,,,9.423020764,0.187925927,5.985115676,11.58449726,2.119750445,0.58912272,0.182785748,4.124163047,1643.849162,1387.656603,0,0.197982223,,,,,lightgrey,circle,
Sari15-04-33_8,1221.671021,,48.08550802,0.753183976,16.90844531,,,,9.395978541,0.187742309,5.945555588,11.69071242,2.143392786,0.610211927,0.180931739,4.228519009,1456.213535,1316.97698,0,0.195686891,,,,,lightgrey,circle,
Sari15-04-33_9,1255.916697,,47.7332271,0.770271823,16.41945404,,,,9.483196786,0.180094467,5.87079072,11.54744691,2.153035157,0.652618235,0.189824034,4.026129845,1414.472137,1496.61024,0,0.191879286,,,,,lightgrey,circle,
Sari15-04-33_10,1277.431177,,47.8136289,0.749356949,16.61363972,,,,9.538433154,0.186148454,5.832269125,11.65026804,2.144940077,0.633514656,0.17460185,3.998375489,1496.098107,1346.9762,0,0.190339897,,,,,lightgrey,circle,
Sari15-04-33_11,1218.06641,,47.11829982,0.745784168,16.53527585,,,,9.396607766,0.180526123,5.903397847,11.57434021,2.117561399,0.646523972,0.173665886,4.351002544,1550.13446,1443.743509,0,0.192488451,,,,,lightgrey,circle,
Sari15-04-33_12,1176.010782,,48.72005294,0.768290773,16.71167163,,,,9.432869656,0.170478136,5.923913884,11.78950361,2.106961244,0.661135809,0.163473139,4.057849445,1621.228486,1504.329155,0,0.19105945,,,,,lightgrey,circle,
Sari15-04-33_13,1118.322667,,47.93223767,0.747748541,16.82503213,,,,9.666046623,0.188836047,5.937070481,11.78441746,2.147940484,0.628473542,0.177971428,4.024484507,1589.737244,1366.118815,0,0.194825375,,,,,lightgrey,circle,
Sari15-04-33_14,1151.005402,,47.44287503,0.754718552,16.88967089,,,,9.446045422,0.192945929,5.940674412,11.69309725,2.14423369,0.604637135,0.170180753,4.403843998,1578.130325,947.5208223,0,0.203506136,,,,,lightgrey,circle,
Sari15-04-33_15,1128.859399,,48.2735316,0.749198526,16.76303948,,,,9.460552571,0.185562992,5.882369774,11.55245771,2.130461704,0.565036352,0.173292238,4.140699735,1493.942861,1254.465676,0,0.2012049,,,,,lightgrey,circle,
Sari15-04-33_16,1217.009024,,48.48283195,0.763826554,16.76909859,,,,9.561738125,0.181197122,5.920482469,11.5723908,2.137494309,0.603750339,0.178447371,3.437983272,1428.083296,1460.12603,0,0.190043634,,,,,lightgrey,circle,
Sari15-04-33_17,1276.645507,,48.06921925,0.744741537,16.69339424,,,,9.527602452,0.179428523,5.890140203,11.54152619,2.11988608,0.610004431,0.159243973,4.012679466,1460.432405,1356.330025,0,0.191773742,,,,,lightgrey,circle,
Sari15-04-33_18,1235.726054,,47.97255409,0.751942132,16.75559299,,,,9.434994247,0.165067407,5.975563576,11.73971022,2.113222808,0.612668287,0.166555167,4.209349935,1382.289122,1333.983018,0,0.195795038,,,,,lightgrey,circle,
Sari15-04-33_19,1222.21041,,48.48223222,0.755058524,17.11621251,,,,9.415962107,0.177097518,5.88386444,11.55204404,2.111066905,0.643540988,0.174515712,4.168129259,1492.232923,1293.961013,0,0.197486308,,,,,lightgrey,circle,
Sari15-04-33_20,1137.138072,,47.25788929,0.759035798,16.61403131,,,,9.472142368,0.181558056,5.92837525,11.59962263,2.150453297,0.581470818,0.173648256,4.294828706,1526.505783,1096.633495,0,0.194644161,,,,,lightgrey,circle,
Sari15-04-33_21,1196.177531,,47.36049507,0.75210804,16.75241985,,,,9.56464971,0.170717663,5.933952956,11.43064422,2.124731912,0.644680203,0.171687337,4.427902503,1546.625148,1374.620253,0,0.198083141,,,,,lightgrey,circle,
Sari15-04-33_22,1243.617414,,47.54127244,0.747186863,16.67987908,,,,9.451841498,0.17758581,6.01761587,11.60740368,2.160168371,0.679779454,0.162291272,3.925567325,1387.103148,1290.3232,0,0.202505479,,,,,lightgrey,circle,
Sari15-04-33_23,1238.061559,,47.96092641,0.747295757,16.78689174,,,,9.584014533,0.180007415,5.872049902,11.6044522,2.150909503,0.615619955,0.170543598,4.083206992,1514.162512,1221.160687,0,0.195045662,,,,,lightgrey,circle,
Sari15-04-33_24,1213.834646,,47.44368352,0.755151388,16.75734444,,,,9.486605735,0.19147216,5.919019557,11.55271436,2.123893169,0.628750327,0.168609867,4.491018519,1477.406786,1478.890026,0,0.194625282,,,,,lightgrey,circle,
Sari15-04-33_25,1254.997217,,47.13441151,0.756299343,16.92171887,,,,9.357905237,0.176052069,5.957420565,11.66421578,2.112284828,0.63175571,0.153658261,4.103483478,1497.085641,1410.260217,0,0.192772698,,,,,lightgrey,circle,
Sari15-04-33_26,1254.454308,,47.78807396,0.752976302,16.66956379,,,,9.462846114,0.178520991,5.914302269,11.52747419,2.122047288,0.672588239,0.175471775,4.262177555,1494.913621,1473.324168,0,0.195032884,,,,,lightgrey,circle,
Sari15-04-33_27,1329.569694,,47.7628213,0.756762973,16.67869546,,,,9.367714619,0.162798516,5.98326377,11.75040209,2.132784602,0.652007597,0.179765676,3.633602818,1601.300986,1215.288801,0,0.192359248,,,,,lightgrey,circle,
Sari15-04-33_28,1167.313531,,47.65763463,0.763522758,16.92652034,,,,9.397966024,0.187445312,5.958935631,11.6307029,2.13302788,0.637069514,0.162400084,4.172785978,1528.127777,1392.893467,0,0.200983249,,,,,lightgrey,circle,
Sari15-04-33_29,1262.989919,,47.81752209,0.749626595,16.81838163,,,,9.455675079,0.189025162,5.982813019,11.56968046,2.165411495,0.639837763,0.170673132,4.012058343,1564.304761,1194.102808,0,0.196913502,,,,,lightgrey,circle,
