Sample,T_C,final_T,P_bar,final_P,DNNO,DFMQ,logfO2,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Xppm,Fe3FeT,S6ST,wt_g,initial_CO2wtpc,xg_O2,xg_CO,xg_H2,xg_S2,fS2,total_mass_g,gas_volume,melt_volume,crystallisation_pc,bulk 34S/32S,bulk d34S,Notes,logfS2,,
"Tamic+01 [rhyolite, 1100]",800,,1,,,0,,77.04,0.11,12.76,,,,0.68,0.07,0.08,0.58,4.07,4.07,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Behrens+04 [dacite],1250,,1,,,0,,65.84,0.66,15.44,,,,4.73,0.07,2.14,4.89,3.68,2.55,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Botcharnikov06 [andesite],1100,,1,,,0,,57.44,1.06,17.53,,,,7.2,0.12,4.31,7.42,3.32,1.61,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Botcharnikov06 [andesite],1200,,1,,,0,,57.44,1.06,17.53,,,,7.2,0.12,4.31,7.42,3.32,1.61,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Botcharnikov06 [andesite],1300,,1,,,0,,57.44,1.06,17.53,,,,7.2,0.12,4.31,7.42,3.32,1.61,0,0,0,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,-3,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,-2.8,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,-2.6,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,-2.4,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,-2.2,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,-2,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,-1.8,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,-1.6,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,-1.4,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,,,,,-1.2,,51.28782609,2.503478261,13.70347826,1.65,8.43,,,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,3,1000,1000,0,,,,,,,,,,,,,,,,,,,
